 ime,open,high,low,close,Volume
2025-02-10 11:28:00,529.56,529.62,529.5,529.53,6274
2025-02-10 11:29:00,529.55,529.55,529.36,529.43,1252
2025-02-10 11:30:00,529.45,529.47,529.35,529.35,4561
2025-02-10 11:31:00,529.37,529.48,529.32,529.32,8976
2025-02-10 11:32:00,529.3,529.38,529.22,529.26,4989
2025-02-10 11:33:00,529.28,529.34,529.02,529.1,5976
2025-02-10 11:34:00,529.13,529.17,529.06,529.15,2928
2025-02-10 11:35:00,529.12,529.35,529.11,529.33,7057
2025-02-10 11:36:00,529.34,529.4,529.28,529.38,2964
2025-02-10 11:37:00,529.44,529.44,529.27,529.32,1555
2025-02-10 11:38:00,529.28,529.35,529.28,529.35,1000
2025-02-10 11:39:00,529.33,529.42,529.28,529.36,1337
2025-02-10 11:40:00,529.41,529.48,529.37,529.38,1332
2025-02-10 11:41:00,529.41,529.46,529.3,529.42,1002
2025-02-10 11:42:00,529.39,529.43,529.33,529.36,319
2025-02-10 11:43:00,529.36,529.37,529.16,529.25,1551
2025-02-10 11:44:00,529.25,529.25,529.17,529.23,1484
